subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,R,31,-0.114607174109883,0.0039196772873326,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,32,-1.980621662100857,0.0098823902363694,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,33,-0.1156788005726843,0.0085435359601294,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,34,-0.6294289424101196,0.0148330433523061,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,35,-0.1665281128265329,0.0055405964937233,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,36,-0.4837480616134194,0.0021513582486404,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,37,-8.538443293751698,0.0101057066364144,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,38,-2.440452301726417,0.0105640972275466,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,39,-5.004601238489077,0.0103691340326998,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,40,-0.0330584382383956,0.6009756933679992,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,41,-6.120644112167129,0.0095585875786263,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,42,-0.6607932987753502,0.0075836736499657,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,43,-0.4371856062239533,0.0091512236167463,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,44,-0.1873696536342902,0.0417878668637044,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,45,-1.7567787187534951,0.0109282974537926,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,46,0.0173898482988399,0.4900988996004947,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,47,-2.4545051066231074,0.0073044725527057,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,48,-2.481802284142396,0.0113697960452564,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,49,-3.9408887359033695,0.0105400219402468,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,50,-0.7534273412782226,0.0106050440339642,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,51,-0.3881790229103636,0.0141325505543373,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,52,-0.0511901546653838,0.2509087630198442,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,53,-0.0876162217543799,0.0318228618605691,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,54,-0.5148529374888849,0.0085999500924788,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,55,-0.0117375392582047,0.5844927610039348,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,56,-0.0390933719724687,0.539141840350736,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,57,-0.0265914696507624,0.2990838855421418,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
sub-EN057,15,R,58,-0.4994941202444362,0.0222102965729855,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_R_run-15.csv
