subject,run,hemi,mode_k,beta,p,metric
sub-EN057,15,L,0,999.283680598422,0.3802200831944621,mean
sub-EN057,15,L,1,0.6084594259206347,0.5933942213164232,mean
sub-EN057,15,L,2,18.965512055155408,0.3856007428244421,mean
sub-EN057,15,L,3,47.54045321417796,0.3823492796031661,mean
sub-EN057,15,L,4,5.887358253048587,0.3815627747509134,mean
sub-EN057,15,L,5,0.1328067644146983,0.4126294511089449,mean
sub-EN057,15,L,6,5.826741511712303,0.3864132888074015,mean
sub-EN057,15,L,7,-0.2267411863077314,0.4473061691882137,mean
sub-EN057,15,L,8,10.083772497902617,0.3797472030259602,mean
sub-EN057,15,L,9,0.5600536642114216,0.4836407205803034,mean
sub-EN057,15,L,10,1.9604628181428985,0.3875862746133195,mean
sub-EN057,15,L,11,5.737230650068619,0.3741995992585979,mean
sub-EN057,15,L,12,1.991629109069707,0.3899997509190416,mean
sub-EN057,15,L,13,2.8167915946596853,0.3998304989361975,mean
sub-EN057,15,L,14,4.789443215901048,0.3753781895277142,mean
sub-EN057,15,L,15,2.116466812926632,0.3829217981083502,mean
sub-EN057,15,L,16,0.0269901473571357,0.6838335871769885,mean
sub-EN057,15,L,17,2.19276135755073,0.3753320946159123,mean
sub-EN057,15,L,18,0.1011303147404187,0.5933497591023346,mean
sub-EN057,15,L,19,1.7406214440077592,0.3787076981747274,mean
sub-EN057,15,L,20,1.0227903143421322,0.3740639705318812,mean
sub-EN057,15,L,21,0.3977331894312643,0.352028110876453,mean
sub-EN057,15,L,22,0.4071406272006371,0.3788917263694031,mean
sub-EN057,15,L,23,0.1388101467931153,0.148199556949775,mean
sub-EN057,15,L,24,0.142729893696627,0.4757858312169707,mean
sub-EN057,15,L,25,0.177203969556373,0.5171769978019026,mean
sub-EN057,15,L,26,0.7739496139488345,0.3840705938629307,mean
sub-EN057,15,L,27,0.0331301853204117,0.7080203463325254,mean
sub-EN057,15,L,28,0.1456373974629809,0.5580270489967616,mean
