subject,run,hemi,mode_k,beta,p,source_file
sub-EN057,15,L,31,-0.4952863524321116,0.0023834162983243,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,32,-1.590644570653731,0.0118912145641619,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,33,-5.752831727521144,0.0105675684405443,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,34,-0.2504087797552702,0.0051367898527919,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,35,-0.1058703936555049,0.1270054710015891,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,36,-3.2339860020275677,0.0079954483707669,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,37,-0.1171943878789214,0.0023662975084247,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,38,-1.53041819639354,0.0107943214991271,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,39,-1.5232820895439685,0.0091847323247804,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,40,-0.10883368670247,0.028789245223851,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,41,-7.1647740314803,0.0106652099313841,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,42,-0.0126202798029939,0.4961025036363412,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,43,0.0059322791780689,0.8764977342313736,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,44,-0.1643273433534416,0.0862524139009074,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,45,-0.6707335876116755,0.0182197115898182,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,46,-1.3945221758603492,0.006035298442063,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,47,-0.3826818925962005,3.942465049089972e-08,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,48,-10.189051289265722,0.0115693199232117,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,49,-0.8976407684415194,0.007836971618244,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,50,-0.1020616188031696,0.0014403659545842,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,51,-0.8637036289079556,0.0092129130963979,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,52,-0.0647958365629693,0.1023331759650154,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,53,-1.4895605993037817,0.0142684343954347,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,54,-0.4527987566461395,0.0146757089289714,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,55,-0.147545481651483,0.018914904395672,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,56,-0.4516990148463395,0.0086290209204722,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,57,-0.1685645638230554,0.0143034038356521,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,58,-0.7220098483212024,0.0088988890914557,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,59,-0.8871655023622669,0.009928991190627,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,60,-1.0027508365374458,0.0110102402839178,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,61,-0.0804219188896672,0.0254966482922406,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,62,-2.438366149568483,0.010658899731147,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,63,-2.396415005249819,0.0105165045071413,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,64,-0.5938267204226098,0.0111525788903645,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,65,-0.5093327743152565,0.0078051812429722,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,66,-0.5168455096742542,0.0073301819006136,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,67,-0.6525311135732497,0.0040499543548965,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,68,-1.9512232447950768,0.0067297421756056,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,69,-0.0463519782009942,0.0596421464668014,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,70,-1.399371596819685,0.0078177310489816,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,71,-0.3100787009913788,0.007714356934601,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,72,-0.00788434989276,0.8450111782604339,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,73,-0.1116259273281706,0.0035721375849841,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,74,-1.2341887283576574,0.0089040807256869,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,75,-0.1173288635865462,0.0071164240591837,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,76,-0.5459233674943799,0.008365432710029,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,77,-0.4390009400210458,0.0115309991082382,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
sub-EN057,15,L,78,-2.8546522767442,0.0101121104306136,/home/whinzen/eigenmode_fingerprints/pang_out/sub-EN057/glm_curvature/per_run/curvature_L_run-15.csv
