measure,within_mean,within_sem,boundary_mean,boundary_sem,n_within,n_boundary,t,p,group0_label,group1_label
geom_entropy_state,1.3039832189741605,0.0004721564053065323,1.2845778391719038,0.001709277294862376,13874,1497,-10.943145330110362,5.362888420991706e-27,within_sentence_state,boundary_initial_state
id_state,3.458085153097407,0.002285811640831514,3.3346657474001287,0.007125842273354664,13874,1497,-16.492234424159903,4.710513862156257e-57,within_sentence_state,boundary_initial_state
