measure,within_mean,within_sem,boundary_mean,boundary_sem,n_within,n_boundary,t,p,group0_label,group1_label
shift,0.4437047415147269,0.001013757256695197,0.7365624760785667,0.00205608138624009,13876,1489,127.75065341927453,0.0,within_transition,boundary_transition
entropy_change,-1.7432421611279965e-05,0.0003758827161504376,0.00018171789023075193,0.00134389988475838,13873,1488,0.14271133125864385,0.8865348087439754,within_transition,boundary_transition
id_change,-0.0001796462207603633,0.0020020060884406244,0.0018494291192407944,0.006093817205628799,13873,1488,0.31633854544568196,0.751781772645615,within_transition,boundary_transition
pred_error_lin,0.6154577713435149,0.001162625427630724,0.8625004439912043,0.0020238856821796687,13866,1489,105.84271107801813,0.0,within_transition,boundary_transition
pred_error_ar,0.39261405976507036,0.0008479669393899412,0.66445394566186,0.0024479396689315756,13857,1488,104.9312357997007,0.0,within_transition,boundary_transition
pred_error_subspace,0.7586682578735794,0.0009348805729530482,0.9700514679333857,0.003160103986009882,13837,1488,64.14316711597876,0.0,within_transition,boundary_transition
curvature,2.0013815639965205,0.001187270442808073,2.024387929893528,0.0025855683071738813,13866,1487,8.086221679647785,1.0126520914349991e-15,within_transition,boundary_transition
