transition_idx,prev_token_id,token_id,run_id,snt_prev,snt_cur,onset,word_prev,word_cur,same_run,boundary_flag,shift,entropy_prev,entropy_cur,entropy_change,id_prev,id_cur,id_change,pred_error_lin,pred_error_ar,pred_error_subspace,curvature
1,1,2,1,1,1,0.728, once, when,1,0,0.34949246355786734,0.6759195432858826,1.0268132522252347,-0.3508937089393521,1.9337554285703404,2.6411623014828143,-0.7074068729124738,,,,
2,2,3,1,1,1,0.919, when, i,1,0,0.39284177912721496,1.0268132522252347,1.3075225194185576,-0.2807092671933229,2.6411623014828143,3.4741687632313765,-0.8330064617485622,0.5531528933752905,,,1.936038257361962
3,3,4,1,1,1,1.025, i, was,1,0,0.3584060003760603,1.3075225194185576,1.3184842412499258,-0.010961721831368232,3.4741687632313765,3.527212662291574,-0.053043899060197575,0.6559520623402639,0.2800845948472508,,2.269542413860292
4,4,5,1,1,1,1.158, was, six,1,0,0.38577099552589256,1.3184842412499258,1.2505446794627417,0.06793956178718408,3.527212662291574,3.1283996152052733,0.3988130470863007,0.526999611074529,0.3704445053042795,,1.891952320666488
5,5,6,1,1,1,1.464, six, years,1,0,0.30774804712591874,1.2505446794627417,1.2168648893762786,0.03367979008646316,3.1283996152052733,2.9554901051837033,0.17290951002157007,0.6252057313176547,0.18765407104104626,0.5345831754955679,2.342047517249209
6,6,7,1,1,1,1.671, years, old,1,0,0.18667234668749433,1.2168648893762786,1.1700271929488841,0.04683769642739444,2.9554901051837033,2.7359136258615115,0.2195764793221917,0.45299232889463226,0.13096808879617072,0.4651052554163775,2.2578321495367946
7,7,8,1,1,1,2.342, old, i,1,0,0.5382476417115886,1.1700271929488841,1.1890551598624923,-0.019027966913608196,2.7359136258615115,2.8164013764958953,-0.08048775063438374,0.7127919606345728,0.4949023272741514,0.544470952797132,2.0087324682559364
8,8,9,1,1,1,2.48, i, saw,1,0,0.4117188208276492,1.1890551598624923,1.2836455226698384,-0.09459036280734612,2.8164013764958953,3.3097299170543035,-0.49332854055840825,0.5617213857798595,0.41407688763804085,0.8313416175124402,1.949732640961849
9,9,10,1,1,1,2.687, saw, a,1,0,0.25163869751063506,1.2836455226698384,1.293097197402499,-0.009451674732660509,3.3097299170543035,3.3253663326267433,-0.015636415572439777,0.42436144453277935,0.23659314672886356,0.6388343719354109,1.925463084053324
10,10,11,1,1,1,2.851, a, magnificent,1,0,0.30486708821755404,1.293097197402499,1.3206926340180365,-0.02759543661553754,3.3253663326267433,3.533341251898182,-0.20797491927143863,0.4501123392649805,0.3122563501943614,0.7395047670759357,1.8786193855626196
11,11,12,1,1,1,3.723, magnificent, picture,1,0,0.32001365747053345,1.3206926340180365,1.2350316942310546,0.08566093978698186,3.533341251898182,3.042970553266187,0.4903706986319949,0.5337704113466315,0.26977378268231533,0.6914252948447841,2.054044032004494
12,12,13,1,1,1,4.297, picture, in,1,0,0.5139924473676807,1.2350316942310546,1.2922738086473022,-0.0572421144162476,3.042970553266187,3.3143407036589845,-0.27137015039279744,0.6572417261551984,0.4283047251333262,0.7925261358046605,1.9343814338921446
13,13,14,1,1,1,4.357, in, a,1,0,0.2821734382832728,1.2922738086473022,1.3316043994808249,-0.03933059083352264,3.3143407036589845,3.608676195490645,-0.2943354918316605,0.4428829137957476,0.27525927430674313,0.543449512209494,1.916228990608747
14,14,15,1,1,1,4.437, a, book,1,0,0.32557473938631765,1.3316043994808249,1.3225217894569314,0.009082610023893434,3.608676195490645,3.525629229803465,0.08304696568717995,0.5023201518047387,0.2585089480467725,0.6884360034398871,1.9608190594519317
15,15,16,1,1,1,4.725, book, about,1,0,0.4530750975816783,1.3225217894569314,1.3043180294304597,0.018203760026471727,3.525629229803465,3.436405657272534,0.08922357253093116,0.6105453496237019,0.41738769895776373,0.8061994812521959,1.94610230702033
16,16,17,1,1,1,4.947, about, the,1,0,0.3920528966978909,1.3043180294304597,1.3123457315672824,-0.00802770213682269,3.436405657272534,3.493878569403973,-0.05747291213143901,0.5664991058589934,0.3410980713748538,0.7474103587464128,1.9782730685431404
17,17,18,1,1,1,5.053, the, primeval,1,0,0.28909860555404077,1.3123457315672824,1.304183340497656,0.008162391069626462,3.493878569403973,3.4198570014380305,0.07402156796594239,0.3903784583458626,0.31181180779850304,0.7115097388180716,1.759031868033143
18,18,19,1,1,1,5.634, primeval, forest,1,0,0.37398609809946837,1.304183340497656,1.338061056329031,-0.033877715831375,3.4198570014380305,3.664196049324384,-0.24433904788635363,0.5266705658136922,0.36061928584485003,0.7552299130687095,1.911979405197015
19,19,20,1,1,1,6.247, forest, called,1,0,0.6150163470494072,1.338061056329031,1.3356985724996489,0.0023624838293820893,3.664196049324384,3.6386967647733797,0.025499284551004475,0.7876870103553412,0.5088702435196568,0.7308117688593343,2.028143864408825
20,20,21,1,1,1,6.827, called, real,1,0,0.5682582014192405,1.3356985724996489,1.3518683435329637,-0.01616977103331485,3.6386967647733797,3.7672004686683014,-0.12850370389492172,0.7815951472970024,0.4287526134800591,0.8019948557134168,2.143273285711768
21,21,22,1,1,1,7.277, real, life,1,0,0.330094621888266,1.3518683435329637,1.3360560146085787,0.015812328924385,3.7672004686683014,3.6559698496727706,0.11123061899553077,0.49043125212844285,0.3082703827508356,0.6933914179931082,1.944565736971824
22,22,23,1,1,1,7.567, life, stories,1,0,0.5713954149704816,1.3360560146085787,1.2437635860332659,0.09229242857531283,3.6559698496727706,3.087059811813443,0.5689100378593275,0.6917520579096359,0.5269260874301458,0.9168812012313539,1.9101689869148302
23,23,1,1,1,2,9.247, stories, it,1,1,0.7382427774348904,1.2437635860332659,1.2658986217996557,-0.022135035766389866,3.087059811813443,3.184608508449551,-0.09754869663610766,0.8809790876514791,0.6505326844563186,0.9430439434015231,2.0661139530523194
24,1,2,1,2,2,9.432, it, showed,1,0,0.3124848768736198,1.2658986217996557,1.2645448921059914,0.0013537296936643184,3.184608508449551,3.23678160454282,-0.052173096093269145,0.4065909097118059,0.37207658263622434,0.7227512380432651,1.8297028398391775
25,2,3,1,2,2,9.755, showed, a,1,0,0.3700485400841276,1.2645448921059914,1.2597326678629956,0.004812224242995766,3.23678160454282,3.1149564352661447,0.1218251692766752,0.5213694886086646,0.3555410780519602,0.7452956808373258,1.9072037472942673
