mode_k,PC1_loading
1,0.5833864228861492
2,0.39886317164023183
3,0.6545602472398698
4,0.09118523669745454
5,0.017433668811609435
6,0.09439794484181438
7,0.02731145036253137
8,0.10981102469524447
9,0.011562254549624378
10,0.011886636119693351
11,0.05367271392816725
12,0.0204487048339185
13,0.03363656136592827
14,0.0559275099611339
15,0.009337676756973839
16,-0.006724709492492938
17,0.02044586237551387
18,-0.0016999160698241333
19,0.02155068283303031
20,0.017547856616735923
21,0.02169960017022494
22,0.015451601409145865
23,-0.007631963762456738
24,-0.005598319513581181
25,0.0002599093372478806
26,0.0023069822139889047
27,0.0006456121299988771
28,0.015211575260430878
29,0.014627238061266638
30,0.006130262481312698
31,-0.02555574277375288
32,0.012114967433040403
33,0.025609955463732063
34,0.0020552593890629206
35,0.00570165858522163
36,0.02266462775924049
37,0.002804391652379269
38,0.0008069218795857803
39,0.011654867705344329
40,0.008707973350338166
41,0.024185539109089795
42,0.0016515940656604323
43,0.0024783635024640525
44,0.003990013828874352
45,0.014008513848728298
46,0.020819908116785846
47,0.00928069450919355
48,0.044695483536662875
49,0.01005429459115404
50,0.008685221215118048
51,0.011846587128833371
52,0.01496054442053845
53,0.01658913922411657
54,0.009075264275993925
55,0.0182624714772686
56,0.02245923089293608
57,0.0023808296197856582
58,-0.0020501143931349014
59,-0.0019430667537921986
60,0.0011074949184196226
61,0.00976400570451218
62,-0.0027967522973020927
63,0.004167769931221531
64,-0.0009004703677654881
65,-0.0001551173730966452
66,0.0031811317347082116
67,-0.007027892582735765
68,-0.005884820418766124
69,-0.016676872072738724
70,-0.01716399285182502
71,-0.014789628884065903
72,-0.024456425224698496
73,-0.00944227565551608
74,-0.008489429620311817
75,-0.011866654340761588
76,0.0015347068669872743
77,0.0028258233490389907
78,0.005103762479332035
79,-0.002380172891078818
80,-0.010754429932592076
81,-0.0012116385389014932
82,-0.00116970258668777
83,0.01069032764975542
84,0.012897674238612069
85,0.005338734898687133
86,-0.00793220244474764
87,-0.023806815714486465
88,-0.027355372213592525
89,-0.03249319387362828
90,-0.04183209010130301
91,-0.033096245666519544
92,-0.02015713597603405
93,-0.013686958085509283
94,-0.01623003722058583
95,-0.024031987138794186
96,-0.015585415940970794
97,-0.018503116051387377
98,-0.034587348574292257
99,-0.025629607674968694
100,-0.014941569006076197
101,-0.0014546887201189922
102,-0.015358604196550428
103,-0.003068936204291835
104,-0.019510755917303457
105,-0.011022159799564023
106,-0.035788671853173956
107,-0.022413206679673746
108,-0.01863696651158487
109,-0.02193176639802827
110,-0.050145566724028805
111,-0.03917693758811843
112,-0.021265552110674255
113,-0.024716866016263595
114,-0.04338611848107481
115,-0.03470446041116463
116,-0.023469151120072664
117,-0.009800022299236773
118,-0.0031043931816271734
119,-0.00829251544903923
