PC,explained_variance_ratio
PC1,0.9925735339090016
PC2,0.007409263188086173
PC3,9.705478957305895e-06
PC4,5.324700522175323e-06
PC5,2.1714606856235584e-06
PC6,1.042565255060928e-09
PC7,1.710337104906898e-10
PC8,4.9148295150380186e-11
PC9,8.489246888950525e-33
PC10,4.467333486506621e-34
PC11,2.87599907949979e-34
PC12,7.52822315725836e-35
