n,pearson_r,pearson_p,spearman_rho,spearman_p,annotation,hemi,mode_k,abs_pearson_r,abs_spearman_rho
10242,0.23421879699546844,1.1758298761355685e-127,0.261200489988655,2.2395642826471385e-159,Margulies_FC_gradient1,L,3,0.23421879699546844,0.261200489988655
10242,-0.3696075432441705,0.0,-0.4093958926552205,0.0,Margulies_FC_gradient1,R,3,0.3696075432441705,0.4093958926552205
20484,-0.06454970228023531,2.296232866010532e-20,-0.07037006024480216,6.541345129285689e-24,Margulies_FC_gradient1,bihemi,3,0.06454970228023531,0.07037006024480216
10242,-0.3908194151620541,0.0,-0.28455050998119247,4.926988310728376e-190,HCP_myelin_T1wT2w,L,3,0.3908194151620541,0.28455050998119247
10242,0.4517781266643828,0.0,0.3992783829001112,0.0,HCP_myelin_T1wT2w,R,3,0.4517781266643828,0.3992783829001112
20484,0.0288745622650093,3.5774090142380444e-05,0.06068339643383666,3.541441319194079e-18,HCP_myelin_T1wT2w,bihemi,3,0.0288745622650093,0.06068339643383666
10242,-0.3862381824518585,0.0,-0.2685382341173236,1.1030892008800084e-168,HCP_cortical_thickness,L,3,0.3862381824518585,0.2685382341173236
10242,0.35190028235524035,2.471122440258595e-296,0.15814854248260848,2.3697916871585465e-58,HCP_cortical_thickness,R,3,0.35190028235524035,0.15814854248260848
20484,-0.01431544761350119,0.04047775381710302,-0.04076599732610773,5.3278589528698605e-09,HCP_cortical_thickness,bihemi,3,0.01431544761350119,0.04076599732610773
