metric,control_model,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,boundary_plus_wordrate_content,L,0,-1761.199203576654,26.18582585030523,49,-67.25772995072924,3.7102636092910086e-49,,1
boundary,boundary_plus_wordrate_content,L,1,-0.6958811315845608,0.10867422161412267,49,-6.403368906155828,6.050083292917362e-08,0.0002292282879352,1
boundary,boundary_plus_wordrate_content,L,2,-33.774109173672464,0.681904524521553,49,-49.52908795753996,7.20464733785779e-43,0.0004418147727847,1
boundary,boundary_plus_wordrate_content,L,3,-91.05745884503226,0.8937501763429136,49,-101.8824513329051,9.39616455017538e-58,0.000503646209836,1
boundary,boundary_plus_wordrate_content,L,4,-7.402609286577195,0.31657401425666454,49,-23.38350260351906,6.944859774769828e-28,0.0007804138585925,1
boundary,boundary_plus_wordrate_content,L,5,-0.18447070260114345,0.04659988521002612,49,-3.958608519521716,0.0002484463687302285,0.0009679924696683,1
boundary,boundary_plus_wordrate_content,L,6,-10.994201396804359,0.3194543674230406,49,-34.41556140080933,1.7330889380025528e-35,0.001079499721527,1
boundary,boundary_plus_wordrate_content,L,7,-0.39367776931329285,0.09311438117309542,49,-4.227894384879858,0.00010516878861527692,0.0014691120013594,1
boundary,boundary_plus_wordrate_content,L,8,-15.711874048062525,0.3824872152518705,49,-41.078167900896105,4.666655339157414e-39,0.001516374759376,1
boundary,boundary_plus_wordrate_content,L,9,-1.3163078128461014,0.09325358236324831,49,-14.115359211817955,1.0438959639805538e-18,0.0017501721158623,1
boundary,boundary_plus_wordrate_content,L,10,-4.083435520012629,0.08365789211810226,49,-48.8111213015973,1.4328449826532443e-42,0.0018113795667886,1
boundary,boundary_plus_wordrate_content,L,11,-10.356526948665044,0.1649359072610415,49,-62.79122066654612,9.684868117027322e-48,0.0020164949819445,1
boundary,boundary_plus_wordrate_content,L,12,-3.441467739609887,0.09730536687845036,49,-35.36770735275906,4.909949348769938e-36,0.0022517880424857,1
boundary,boundary_plus_wordrate_content,L,13,-5.352036146731139,0.1018552886169823,49,-52.5454909548879,4.4370177555818223e-44,0.0023531662300229,1
boundary,boundary_plus_wordrate_content,L,14,-10.387740784242936,0.19627409539249627,49,-52.92466519063661,3.1600622743088573e-44,0.0027416236698627,1
boundary,boundary_plus_wordrate_content,L,15,-2.840973559232249,0.09950572648467138,49,-28.550854906525352,9.008970803319909e-32,0.0029593342915177,1
