metric,k_low,comparison,r,r2,valid_vertices_L,valid_vertices_R
boundary,20,empirical_vs_full_retained,0.8919791906522757,0.7956257035463958,9354,9361
boundary,20,empirical_vs_lowpass,0.7647018410091754,0.5696133753176131,9354,9361
