model,metric,label,within_mean,within_sem,boundary_mean,boundary_sem,n_within,n_boundary,t_welch,p_welch,cohens_d_boundary_minus_within,stars
BERT,shift,Token shift,0.4437047415147269,0.0010137572566951971,0.7365624760785667,0.00205608138624009,13876,1489,127.75065341927453,0.0,2.5215558737672836,****
BERT,pred_error_ar,Prediction error,0.39261405976507036,0.0008479669393899412,0.66445394566186,0.0024479396689315756,13857,1488,104.9312357997007,0.0,2.737302102011421,****
BERT,pred_error_subspace,Subspace exit,0.7586682578735794,0.0009348805729530484,0.9700514679333857,0.003160103986009882,13837,1488,64.14316711597874,0.0,1.9011939200187793,****
BERT,curvature,Curvature,2.00138156399652,0.001187270442808073,2.024387929893528,0.0025855683071738813,13866,1487,8.086221679647942,1.01265209143375e-15,0.16861877855931337,****
Qwen3,shift,Token shift,0.19843560773109847,0.0006443215554513567,0.4011821219641441,0.0015755781275973103,13876,1490,119.10621585979668,0.0,2.7188449846272964,****
Qwen3,pred_error_ar,Prediction error,0.15238512890912645,0.00041675268187031265,0.35200906879637045,0.0017268927108776144,13858,1490,112.37120803618302,0.0,3.9115664431412855,****
Qwen3,pred_error_subspace,Subspace exit,0.48609330415423635,0.0007611001001362338,0.6033911336831889,0.00899049376275868,13840,1490,13.0003714914113,1.0480072759967404e-36,0.8523662398457967,****
Qwen3,curvature,Curvature,2.025057942600012,0.0016084698621161686,1.9432800954801703,0.005365519775423824,13852,1488,-14.599468282501375,1.1618534856039762e-45,-0.427949788547753,****
