subject,run,hemi,K,r2
sub-EN057,20,R,80,0.9872012248824217
sub-EN057,20,R,100,0.9938494583806196
sub-EN057,20,R,120,1.0
sub-EN057,21,L,1,0.8097061535447124
sub-EN057,21,L,2,0.8123951607755382
sub-EN057,21,L,3,0.833563453505235
sub-EN057,21,L,5,0.891411704506658
sub-EN057,21,L,10,0.9116016865846756
sub-EN057,21,L,20,0.943580668413457
sub-EN057,21,L,40,0.9615272646289965
sub-EN057,21,L,60,0.9748265179548088
sub-EN057,21,L,80,0.9857249090228134
sub-EN057,21,L,100,0.9926371127000875
sub-EN057,21,L,120,1.0
sub-EN057,21,R,1,0.7979667539974039
sub-EN057,21,R,2,0.8001964228925779
sub-EN057,21,R,3,0.8107674339848023
sub-EN057,21,R,5,0.8839911023257737
sub-EN057,21,R,10,0.9093575140941389
sub-EN057,21,R,20,0.943353276228372
sub-EN057,21,R,40,0.9632645218567719
sub-EN057,21,R,60,0.9764948349265286
sub-EN057,21,R,80,0.9870582843195217
sub-EN057,21,R,100,0.9936706544057784
sub-EN057,21,R,120,1.0
sub-EN057,22,L,1,0.8106888669347821
sub-EN057,22,L,2,0.8184167934295187
sub-EN057,22,L,3,0.839734296088334
sub-EN057,22,L,5,0.8955848276936431
sub-EN057,22,L,10,0.9165718729042076
sub-EN057,22,L,20,0.945885940533022
sub-EN057,22,L,40,0.9629713117817429
sub-EN057,22,L,60,0.9769192748597657
sub-EN057,22,L,80,0.9865627446374275
sub-EN057,22,L,100,0.9932757754983478
sub-EN057,22,L,120,1.0
sub-EN057,22,R,1,0.8016161623708661
sub-EN057,22,R,2,0.8093896009565692
sub-EN057,22,R,3,0.8229297786483676
sub-EN057,22,R,5,0.8911170219538328
sub-EN057,22,R,10,0.9161991118432323
sub-EN057,22,R,20,0.9478877954672899
sub-EN057,22,R,40,0.9665451796631827
sub-EN057,22,R,60,0.9787623971121783
sub-EN057,22,R,80,0.9882105338565732
sub-EN057,22,R,100,0.9942886661582293
sub-EN057,22,R,120,1.0
sub-EN057,23,L,1,0.7670173347910659
sub-EN057,23,L,2,0.7882692918379207
sub-EN057,23,L,3,0.8363848394918835
sub-EN057,23,L,5,0.8903746698850721
sub-EN057,23,L,10,0.9119846926183678
sub-EN057,23,L,20,0.9447750316181658
sub-EN057,23,L,40,0.9621981848808203
sub-EN057,23,L,60,0.9753591541637463
sub-EN057,23,L,80,0.9864321519051852
sub-EN057,23,L,100,0.9946599784427146
sub-EN057,23,L,120,1.0
sub-EN057,23,R,1,0.7554085384705195
sub-EN057,23,R,2,0.7693158233858193
sub-EN057,23,R,3,0.8103885500113912
sub-EN057,23,R,5,0.8810361367002086
sub-EN057,23,R,10,0.9082666710209631
sub-EN057,23,R,20,0.9416905667327679
sub-EN057,23,R,40,0.9626958873096546
sub-EN057,23,R,60,0.9757654512935465
sub-EN057,23,R,80,0.9870497026833377
sub-EN057,23,R,100,0.9936245429253335
sub-EN057,23,R,120,1.0
sub-EN058,10,L,1,0.813336286756572
sub-EN058,10,L,2,0.8192730620866454
sub-EN058,10,L,3,0.84172550753534
sub-EN058,10,L,5,0.8907717252027495
sub-EN058,10,L,10,0.9128759718326945
sub-EN058,10,L,20,0.943947432334715
sub-EN058,10,L,40,0.9645056888846245
sub-EN058,10,L,60,0.9788650828440723
sub-EN058,10,L,80,0.9890114505370325
sub-EN058,10,L,100,0.9949404075960897
sub-EN058,10,L,120,1.0
sub-EN058,10,R,1,0.7961089954754976
sub-EN058,10,R,2,0.8019165512219248
sub-EN058,10,R,3,0.8120601417741034
sub-EN058,10,R,5,0.8800169506561094
sub-EN058,10,R,10,0.9084625803298241
sub-EN058,10,R,20,0.94044597124707
sub-EN058,10,R,40,0.9625108878443286
sub-EN058,10,R,60,0.9764544360353505
sub-EN058,10,R,80,0.9871524129290336
sub-EN058,10,R,100,0.9943592731386864
sub-EN058,10,R,120,1.0
sub-EN058,11,L,1,0.8226037331346563
sub-EN058,11,L,2,0.8260322451921005
sub-EN058,11,L,3,0.8463171656086379
sub-EN058,11,L,5,0.8976427377478027
sub-EN058,11,L,10,0.9182017879284247
sub-EN058,11,L,20,0.9464850276971992
sub-EN058,11,L,40,0.9654125224276172
sub-EN058,11,L,60,0.9789758805335913
sub-EN058,11,L,80,0.989115319288439
sub-EN058,11,L,100,0.9949173380547734
sub-EN058,11,L,120,1.0
sub-EN058,11,R,1,0.7950106164342328
sub-EN058,11,R,2,0.799621429631237
sub-EN058,11,R,3,0.8105083201181298
sub-EN058,11,R,5,0.8837925172275733
sub-EN058,11,R,10,0.9132713884702738
sub-EN058,11,R,20,0.9441410773254508
sub-EN058,11,R,40,0.9657413456780577
sub-EN058,11,R,60,0.9779182962315488
sub-EN058,11,R,80,0.9880722633249315
sub-EN058,11,R,100,0.9948070180344883
sub-EN058,11,R,120,1.0
sub-EN058,12,L,1,0.8363407898480862
sub-EN058,12,L,2,0.839075820251104
sub-EN058,12,L,3,0.8563599721869227
sub-EN058,12,L,5,0.9053847025813019
sub-EN058,12,L,10,0.9248308176589661
sub-EN058,12,L,20,0.9509651029833568
sub-EN058,12,L,40,0.967340728104565
sub-EN058,12,L,60,0.980393442698731
sub-EN058,12,L,80,0.9902366629045881
sub-EN058,12,L,100,0.9953040883925253
sub-EN058,12,L,120,1.0
sub-EN058,12,R,1,0.8227288330462132
sub-EN058,12,R,2,0.8248659363187957
sub-EN058,12,R,3,0.8325831198059176
sub-EN058,12,R,5,0.89783411837364
sub-EN058,12,R,10,0.9235376253391129
sub-EN058,12,R,20,0.9526467220180457
sub-EN058,12,R,40,0.9695139406061055
sub-EN058,12,R,60,0.9808703519948216
sub-EN058,12,R,80,0.9903061041043054
sub-EN058,12,R,100,0.9953418036698419
sub-EN058,12,R,120,1.0
sub-EN058,13,L,1,0.8208755457210712
sub-EN058,13,L,2,0.8251677021153646
sub-EN058,13,L,3,0.8457625929335556
sub-EN058,13,L,5,0.8937807500872739
sub-EN058,13,L,10,0.9144268541645886
sub-EN058,13,L,20,0.9426955275170307
sub-EN058,13,L,40,0.9630839858335305
sub-EN058,13,L,60,0.977412142542079
sub-EN058,13,L,80,0.9884038245157838
sub-EN058,13,L,100,0.9947175591845224
sub-EN058,13,L,120,1.0
sub-EN058,13,R,1,0.8106359406808283
sub-EN058,13,R,2,0.8139665157346299
sub-EN058,13,R,3,0.8228674938450542
sub-EN058,13,R,5,0.8885483848677855
sub-EN058,13,R,10,0.9137291319298168
sub-EN058,13,R,20,0.9432206851436631
sub-EN058,13,R,40,0.9637289918121915
sub-EN058,13,R,60,0.9771114967428913
sub-EN058,13,R,80,0.9876877307155985
sub-EN058,13,R,100,0.994181516653152
sub-EN058,13,R,120,1.0
sub-EN058,14,L,1,0.8311274954676657
sub-EN058,14,L,2,0.8345558112229705
sub-EN058,14,L,3,0.8523424136553442
sub-EN058,14,L,5,0.9007041832296732
sub-EN058,14,L,10,0.9198026904893223
sub-EN058,14,L,20,0.9463794447771429
sub-EN058,14,L,40,0.9647828689088946
sub-EN058,14,L,60,0.9788614601598352
sub-EN058,14,L,80,0.988746738867127
sub-EN058,14,L,100,0.9947482873404008
sub-EN058,14,L,120,1.0
sub-EN058,14,R,1,0.8104933570225419
sub-EN058,14,R,2,0.8145354281559548
sub-EN058,14,R,3,0.8234085170448657
sub-EN058,14,R,5,0.892197097111426
sub-EN058,14,R,10,0.9180389887769143
sub-EN058,14,R,20,0.9476290242557137
sub-EN058,14,R,40,0.9667407616755822
sub-EN058,14,R,60,0.978752348858431
sub-EN058,14,R,80,0.9886013481698915
sub-EN058,14,R,100,0.9948576437420945
sub-EN058,14,R,120,1.0
sub-EN058,15,L,1,0.8330983673234548
sub-EN058,15,L,2,0.8360664553568203
sub-EN058,15,L,3,0.8540121373841278
sub-EN058,15,L,5,0.901931747982792
sub-EN058,15,L,10,0.9218145401139682
sub-EN058,15,L,20,0.9482486471835999
sub-EN058,15,L,40,0.9659669217187099
sub-EN058,15,L,60,0.9798643714935789
sub-EN058,15,L,80,0.9902253719518104
sub-EN058,15,L,100,0.9954054521483348
sub-EN058,15,L,120,1.0
sub-EN058,15,R,1,0.8028115474535884
sub-EN058,15,R,2,0.8081906513288646
sub-EN058,15,R,3,0.8181208766937795
sub-EN058,15,R,5,0.8909185313546961
sub-EN058,15,R,10,0.91726644408103
sub-EN058,15,R,20,0.9472074310477666
sub-EN058,15,R,40,0.9677235574243698
sub-EN058,15,R,60,0.9794360112195939
sub-EN058,15,R,80,0.9890283872032123
sub-EN058,15,R,100,0.9948383033253982
sub-EN058,15,R,120,1.0
sub-EN058,16,L,1,0.8350831736770942
sub-EN058,16,L,2,0.8388743516441564
sub-EN058,16,L,3,0.8576682692470917
sub-EN058,16,L,5,0.9046352271350139
sub-EN058,16,L,10,0.9239747731862915
sub-EN058,16,L,20,0.9487234275107163
sub-EN058,16,L,40,0.9660682645560023
sub-EN058,16,L,60,0.9798148014430007
sub-EN058,16,L,80,0.9897592153907997
sub-EN058,16,L,100,0.9952660751329869
sub-EN058,16,L,120,1.0
sub-EN058,16,R,1,0.7946259647534357
sub-EN058,16,R,2,0.8042698037474091
sub-EN058,16,R,3,0.8166910576647997
sub-EN058,16,R,5,0.8918356740579585
sub-EN058,16,R,10,0.9186961503458941
sub-EN058,16,R,20,0.9471671122919061
sub-EN058,16,R,40,0.9691418399668025
sub-EN058,16,R,60,0.9803847963294152
sub-EN058,16,R,80,0.9894625877145528
sub-EN058,16,R,100,0.9950904834797343
sub-EN058,16,R,120,1.0
sub-EN058,8,L,1,0.8457553226957187
sub-EN058,8,L,2,0.8480566266449695
sub-EN058,8,L,3,0.8651977786511281
sub-EN058,8,L,5,0.9123811405954425
sub-EN058,8,L,10,0.9309754687391257
sub-EN058,8,L,20,0.9550280514600334
sub-EN058,8,L,40,0.969763349820323
sub-EN058,8,L,60,0.9825170880262151
sub-EN058,8,L,80,0.9912928516366004
sub-EN058,8,L,100,0.9959179254965361
sub-EN058,8,L,120,1.0
sub-EN058,8,R,1,0.8310294919979562
sub-EN058,8,R,2,0.8323340027426661
sub-EN058,8,R,3,0.840161736096214
sub-EN058,8,R,5,0.9033374236201229
sub-EN058,8,R,10,0.9263701375497349
sub-EN058,8,R,20,0.954544618554122
sub-EN058,8,R,40,0.9710739873942591
sub-EN058,8,R,60,0.9815850448287384
sub-EN058,8,R,80,0.9904854798456951
sub-EN058,8,R,100,0.9956145128814923
sub-EN058,8,R,120,1.0
sub-EN058,9,L,1,0.8273775489870867
sub-EN058,9,L,2,0.8314265934806645
sub-EN058,9,L,3,0.8497380673536543
sub-EN058,9,L,5,0.8976976906961814
sub-EN058,9,L,10,0.9183044587933068
sub-EN058,9,L,20,0.947223538931432
sub-EN058,9,L,40,0.966176928499111
sub-EN058,9,L,60,0.9795428949890888
sub-EN058,9,L,80,0.9899775626218659
sub-EN058,9,L,100,0.9952946016706825
sub-EN058,9,L,120,1.0
sub-EN058,9,R,1,0.8092247090150205
sub-EN058,9,R,2,0.8129215442402675
sub-EN058,9,R,3,0.8215450137841624
sub-EN058,9,R,5,0.8885186586440758
sub-EN058,9,R,10,0.9141621485307735
sub-EN058,9,R,20,0.9463003636829462
sub-EN058,9,R,40,0.9655155662003038
sub-EN058,9,R,60,0.9783879221950432
sub-EN058,9,R,80,0.9889939260605595
sub-EN058,9,R,100,0.9949066350759292
sub-EN058,9,R,120,1.0
sub-EN059,10,L,1,0.8351580002966112
sub-EN059,10,L,2,0.8436832650617051
sub-EN059,10,L,3,0.8607531835660515
sub-EN059,10,L,5,0.9085174477278196
sub-EN059,10,L,10,0.9269143324883584
sub-EN059,10,L,20,0.9539706593315447
sub-EN059,10,L,40,0.968115151152082
sub-EN059,10,L,60,0.9804351866519894
sub-EN059,10,L,80,0.9902375730190492
sub-EN059,10,L,100,0.9955338256519316
sub-EN059,10,L,120,1.0
sub-EN059,10,R,1,0.8146237709730016
sub-EN059,10,R,2,0.8221793665419551
