metric,label,within_mean,within_sem,boundary_mean,boundary_sem,p,d,stars
shift,Token shift,0.19843560773109847,0.0006443215554513567,0.4011821219641441,0.0015755781275973103,0.0,2.7188449846272964,****
pred_error_ar,Prediction error,0.15238512890912645,0.00041675268187031265,0.35200906879637045,0.0017268927108776144,0.0,3.9115664431412855,****
pred_error_subspace,Subspace exit,0.48609330415423635,0.0007611001001362338,0.6033911336831889,0.00899049376275868,1.0480072759967404e-36,0.8523662398457967,****
curvature,Curvature,2.025057942600012,0.0016084698621161686,1.9432800954801703,0.005365519775423824,1.1618534856039762e-45,-0.427949788547753,****
