metric,k_low,full_r,full_r2,lowpass_r,lowpass_r2,valid_vertices_L,valid_vertices_R
boundary,20,0.8919791906522757,0.7956257035463958,0.7647018410091754,0.5696133753176131,9354,9361
sentence_shift,20,0.8913061234563117,0.7944266016291128,0.7954216990709921,0.6214141466933722,9354,9361
