metric,label,hemi,pearson_r,spearman_r,cosine_similarity,z_profile_r,slope,intercept,n_modes
shift,Token shift,L,0.9999998238960143,0.9998718131320327,0.9999998098392352,0.9999998238960143,1.0042301102007443,0.003203705565679985,119
shift,Token shift,R,0.9999998688140347,0.9999287850733515,0.9999998599089939,0.9999998688140348,1.0039189762464007,0.003308798607011184,119
pred_error_ar,Prediction error,L,0.9999999099275027,0.9998860561173624,0.9999998965604752,0.9999999099275025,0.9927231277906767,0.0027491147227143814,119
pred_error_ar,Prediction error,R,0.9999999279363669,0.9998646916393676,0.9999999215536187,0.9999999279363668,0.9923834763115557,0.0026206573549027636,119
pred_error_subspace,Subspace exit,L,0.9999998885042682,0.9999074205953569,0.9999998708256763,0.999999888504268,0.939576401471024,0.002992949107402707,119
pred_error_subspace,Subspace exit,R,0.9999999197353772,0.9998718131320327,0.9999999022174629,0.9999999197353774,0.9395583995156739,0.0037454552426546,119
curvature,Curvature,L,0.9999999978907516,0.9999928785073352,0.9999999978820875,0.9999999978907514,0.9962925615547394,0.0002358207524925941,119
curvature,Curvature,R,0.9999999983578011,0.9999928785073352,0.9999999982899525,0.9999999983578011,0.996307430763819,0.00032417485975539973,119
