metric,label,within_mean,within_sem,boundary_mean,boundary_sem,n_within,n_boundary
shift,Token shift,0.19843560773109847,0.0006443215554513567,0.4011821219641441,0.0015755781275973103,13876,1490
pred_error_ar,Prediction error,0.15238512890912645,0.00041675268187031265,0.35200906879637045,0.0017268927108776144,13858,1490
pred_error_subspace,Subspace exit,0.48609330415423635,0.0007611001001362338,0.6033911336831889,0.00899049376275868,13840,1490
curvature,Curvature,2.025057942600012,0.0016084698621161686,1.9432800954801703,0.005365519775423824,13852,1488
