,Boundary,Sentence shift,Token shift,Prediction error,Subspace exit,Curvature
Boundary,1.0,0.9999632129981413,0.2762682628631782,0.2764589096708265,0.27657314584897363,0.27619919741475507
Sentence shift,0.9999632129981413,1.0,0.28154996217157535,0.2817422949353088,0.2818569028384119,0.2814800935167825
Token shift,0.2762682628631782,0.28154996217157535,1.0,0.9999998430061917,0.999999711235337,0.9999999675871297
Prediction error,0.2764589096708265,0.28174229493530883,0.9999998430061918,1.0,0.9999999720255237,0.9999997485452699
Subspace exit,0.27657314584897363,0.2818569028384119,0.999999711235337,0.9999999720255237,0.9999999999999999,0.9999996106270375
Curvature,0.27619919741475507,0.28148009351678244,0.9999999675871296,0.9999997485452699,0.9999996106270375,1.0
